ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
94503,3,2020,Gas- Commercial,Y,0,0,NA
94505,1,2020,Gas- Commercial,Y,0,0,NA
94505,2,2020,Gas- Commercial,Y,0,0,NA
94505,3,2020,Gas- Commercial,Y,0,0,NA
94506,1,2020,Gas- Commercial,Y,150,110085,734
94506,2,2020,Gas- Commercial,Y,150,83097,554
94506,3,2020,Gas- Commercial,N,93,53700,577
94507,1,2020,Gas- Commercial,Y,0,0,NA
94507,2,2020,Gas- Commercial,Y,0,0,NA
94507,3,2020,Gas- Commercial,Y,0,0,NA
94508,1,2020,Gas- Commercial,Y,0,0,NA
94508,2,2020,Gas- Commercial,Y,0,0,NA
94508,3,2020,Gas- Commercial,Y,0,0,NA
94509,1,2020,Gas- Commercial,Y,0,0,NA
94509,2,2020,Gas- Commercial,Y,0,0,NA
94509,3,2020,Gas- Commercial,Y,0,0,NA
94510,1,2020,Gas- Commercial,N,543,184105,339
94510,2,2020,Gas- Commercial,N,543,126001,232
94510,3,2020,Gas- Commercial,N,542,120117,222
94513,1,2020,Gas- Commercial,Y,1162,414923,357
94513,2,2020,Gas- Commercial,Y,950,233257,246
94513,3,2020,Gas- Commercial,Y,3852,1271756,330
94514,1,2020,Gas- Commercial,Y,0,0,NA
94514,2,2020,Gas- Commercial,Y,0,0,NA
94514,3,2020,Gas- Commercial,Y,0,0,NA
94515,1,2020,Gas- Commercial,Y,0,0,NA
94515,2,2020,Gas- Commercial,Y,0,0,NA
94515,3,2020,Gas- Commercial,Y,0,0,NA
94517,1,2020,Gas- Commercial,Y,0,0,NA
94517,2,2020,Gas- Commercial,Y,0,0,NA
94517,3,2020,Gas- Commercial,Y,0,0,NA
94518,1,2020,Gas- Commercial,Y,0,0,NA
94518,2,2020,Gas- Commercial,Y,0,0,NA
