CUSTOMERCLASS,DATE,TOTALKBTU
Gas- Commercial,2017-02-01,8581648.4957
Gas- Commercial,2017-03-01,8603943.166
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,36937869.7387
Gas- Commercial,2017-02-01,25370934.897
Gas- Commercial,2017-03-01,24500343.0182
Gas- Commercial,2017-01-01,20894405.0434
Gas- Commercial,2017-02-01,15067897.9115
Gas- Commercial,2017-03-01,12702063.4811
Gas- Commercial,2017-01-01,35715961.8445
Gas- Commercial,2017-02-01,26464173.5505
Gas- Commercial,2017-03-01,24900847.2748
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,23251441.577
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,12849428.2525
Gas- Commercial,2017-01-01,26514061.6244
Gas- Commercial,2017-02-01,18394802.5912
Gas- Commercial,2017-03-01,15898999.2308
Gas- Commercial,2017-01-01,28493788.3566
Gas- Commercial,2017-02-01,19750378.5311
Gas- Commercial,2017-03-01,17561901.7021
Gas- Commercial,2017-01-01,105361912.4831
Gas- Commercial,2017-02-01,74990872.8968
Gas- Commercial,2017-03-01,66033714.1695
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,4845241.7104
Gas- Commercial,2017-02-01,3440077.6249
Gas- Commercial,2017-03-01,2812827.5735
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,15358328.482
Gas- Commercial,2017-02-01,11708800.9276
Gas- Commercial,2017-03-01,9949621.472
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,42270894.841
Gas- Commercial,2017-02-01,34256010.8562
Gas- Commercial,2017-03-01,32308476.4282
Gas- Commercial,2017-01-01,22191694.917
Gas- Commercial,2017-02-01,16936151.2922
Gas- Commercial,2017-03-01,16311500.6194
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,3555749.9726
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,8826190.0363
Gas- Commercial,2017-02-01,5911286.8647
Gas- Commercial,2017-03-01,4995705.7409
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,52924148.1048
Gas- Commercial,2017-02-01,39955148.4367
Gas- Commercial,2017-03-01,37554022.443
Gas- Commercial,2017-01-01,48182081.7296
Gas- Commercial,2017-02-01,34237215.3494
Gas- Commercial,2017-03-01,30419228.0665
Gas- Commercial,2017-01-01,11842868.8777
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,18646342.4588
Gas- Commercial,2017-02-01,12767447.8505
Gas- Commercial,2017-03-01,10942584.0972
Gas- Commercial,2017-01-01,11040360.723
Gas- Commercial,2017-02-01,17433532.3897
Gas- Commercial,2017-03-01,16344092.828
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,45743164.7701
Gas- Commercial,2017-02-01,31978355.346
Gas- Commercial,2017-03-01,41333218.9991
Gas- Commercial,2017-01-01,14679590.7391
Gas- Commercial,2017-02-01,10509687.5842
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,18859491.504
Gas- Commercial,2017-02-01,14148017.8154
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,1941535.862
